state, city, latitude, longitude, original_order, tsp_order
None, Philadelphia, 39.952584, -75.165222, None, 1
None, New York, 40.712775, -74.005973, None, 2
None, Boston, 42.360083, -71.05888, None, 3
None, Chicago, 41.878114, -87.629798, None, 4
None, San Francisco, 37.77493, -122.419416, None, 5
None, Los Angeles, 34.052234, -118.243685, None, 6
None, Atlanta, 33.748995, -84.387982, None, 7
